@relation StudentData

@attribute PercentageOfOpenedDiscussion numeric
@attribute PercentageOfReplies numeric
@attribute PercentageOfWikiEntries numeric
@attribute PercentageOfAssignCompletion numeric
@attribute PercentageOfVisitOfStudent numeric
@attribute PercentagOfAccessedResource numeric
@attribute cluster {0,1}

@data
5,0,0,0,0.4867,4,0
0,5,0,100,1.5993,93,1
0,4,0,16,1.28,68,0
0,0,0,100,1.0301,32,1
2,1,0,0,0.5018,19,0
2,0,0,100,1.4096,38,1
2,5,1,100,1.247,76,1
2,2,0,100,1.6807,91,1
0,5,0,100,3.4698,67,1
0,5,0,100,3.3071,55,1
2,5,0,100,1.7891,89,1
4,2,0,100,2.0873,89,1
4,2,0,100,1.518,69,1
4,0,7,100,1.022,50,1
2,2,0,100,1.4367,67,1
4,2,0,100,1.1385,8,1
2,2,7,50,3.8764,69,0
2,1,0,0,0.4346,13,0
2,0,3,0,0.4066,15,0
4,5,18,100,0.9759,84,1
9,0,13,100,1.3012,37,1
0,5,0,50,1.1927,47,0
4,0,0,20,1.8581,94,0
4,5,0,100,11.2497,59,1
2,1,0,20,0.4476,13,0
4,2,7,100,3.6866,88,1
1,2,4,0,1.1042,13,0
2,5,0,100,2.5481,66,1
1,1,0,20,1.7089,40,0
0,8,0,100,1.4909,71,1
4,2,4,100,3.3613,76,1
3,4,1,25,1.4741,38,0
6,2,2,100,14.8821,96,1
4,2,0,100,1.3012,88,1
2,2,4,100,2.6294,50,1
6,2,17,100,2.0331,93,1
6,0,11,100,2.2499,55,1
4,2,3,100,2.9276,94,1
1,0,0,60,1.9185,62,0
0,1,1,66,0.7674,4,0
9,0,3,100,3.4427,84,1
14,1,0,100,1.2291,86,1
0,4,0,33,0.7932,26,0
2,4,1,50,0.8834,29,0
1,4,1,25,2.4229,71,0
1,1,1,60,1.7319,97,0
1,1,1,80,2.2382,77,1
1,4,1,60,1.7768,53,0
2,5,0,83,2.7722,70,1
0,0,0,50,0.7112,41,0
1,5,0,100,1.397,73,1
0,4,1,50,3.2023,78,0
0,1,1,50,0.8253,15,0
2,4,2,50,2.614,95,0
2,5,2,66,5.7794,93,1
1,4,1,80,1.8581,46,1
3,1,1,100,0.9859,85,1
4,3,5,100,3.1716,61,1
5,2,0,50,0.825,38,0
4,6,2,25,1.4402,83,0
5,2,2,50,3.7317,93,0
5,2,6,50,3.8579,96,0
4,1,1,80,3.3908,78,1
2,0,0,25,2.084,59,0
2,1,2,100,1.9451,91,1
0,2,2,75,1.5277,86,1
5,1,1,66,0.7635,55,0
0,2,0,100,1.4047,59,1
5,3,0,100,2.1053,84,1
1,5,1,100,1.9984,88,1
5,1,0,66,1.6093,86,1
0,4,2,100,2.276,92,1
2,2,0,66,1.947,95,1
2,4,1,50,3.0647,87,0
5,2,0,66,1.3521,90,1
4,4,2,80,6.9972,87,1
2,4,6,80,2.7397,96,1
0,3,0,100,1.4122,74,1
4,4,2,80,1.8733,77,1
3,0,3,80,1.199,54,1
9,1,1,60,3.3333,70,0
0,3,2,100,2.3369,38,1
3,2,2,25,2.4737,50,0
2,3,0,83,1.2804,93,1
0,5,4,100,2.0661,83,1
4,2,2,66,3.4418,87,1
0,5,2,100,6.0691,80,1
0,4,0,100,2.276,58,1
5,1,0,75,1.4509,89,1
2,2,0,80,3.6756,82,1
1,2,3,50,2.1688,90,0
0,6,1,50,1.6045,70,0
1,3,0,66,4.0996,76,0
0,2,0,100,1.5628,79,1
0,6,2,66,1.8325,69,0
2,2,6,66,1.8795,61,0
0,5,0,66,1.9184,92,1
5,1,0,75,1.8777,89,1
8,0,2,50,2.1092,35,0
2,2,0,80,2.265,96,1
5,2,0,100,2.9872,84,1
3,2,0,50,5.2355,83,0
0,1,4,100,2.8253,95,1
1,2,0,25,1.186,100,0
0,3,5,100,3.3484,97,1
5,2,1,75,3.7553,94,1
0,4,1,100,3.8976,92,1
2,4,2,50,2.4337,89,0
3,3,1,100,2.1849,88,1
5,2,2,75,2.7881,79,1
0,5,2,100,4.27,62,1
4,2,1,50,1.6915,30,0
2,3,3,100,2.3024,92,1
0,6,4,66,4.2005,98,1
2,2,4,66,1.2334,64,0
5,4,0,50,2.614,82,0
5,3,4,100,3.67,84,1
3,1,5,100,2.1583,85,1
3,1,4,100,2.3181,82,1
0,4,1,100,2.6171,70,1
1,5,0,100,1.7225,71,1
6,1,0,66,0.9045,80,0
3,0,1,50,1.0335,73,0
5,3,3,100,2.276,89,1
2,4,3,100,3.2687,94,1
5,2,3,100,1.2518,71,1
2,4,6,33,5.8771,71,0
3,3,0,80,0.7461,68,1
0,7,0,80,2.8211,94,1
0,3,3,75,1.4223,20,0
0,7,3,100,2.023,69,1
0,7,11,100,4.918,97,1
3,1,1,100,1.2749,53,1
2,1,2,100,1.6547,75,1
0,5,4,66,2.3259,93,1
3,2,2,25,3.7275,71,0
4,1,7,80,2.3181,88,1
2,4,3,66,9.7891,82,0
0,2,4,100,2.2865,37,1
0,4,5,100,3.0725,69,1
3,4,3,25,2.7618,100,0
16,1,14,100,5.1622,92,1
0,5,4,100,3.9763,85,1
2,7,0,100,1.0658,45,1
9,2,3,100,2.7548,66,1
3,0,2,25,6.2352,100,0
2,4,15,50,3.1549,92,0
2,3,2,80,2.0517,48,1
0,5,1,100,2.3981,94,1
0,4,2,75,3.3001,82,1
5,1,1,66,1.8912,32,0
0,1,0,100,1.036,93,1
1,2,3,80,5.588,82,1
2,4,3,50,2.9385,78,0
0,5,3,100,3.8019,88,1
5,0,1,66,2.2354,85,1
1,5,5,80,1.5987,77,1
2,4,1,50,3.9841,84,0
0,2,0,100,1.5452,84,1
2,2,1,50,3.9301,67,0
0,4,4,100,3.0725,79,1
8,1,0,100,1.8137,90,1
3,0,0,80,1.5721,77,1
3,0,1,100,1.7852,97,1
2,2,11,66,3.5334,50,0
2,3,4,100,3.3008,84,1
3,0,0,25,2.999,90,0
3,0,1,50,1.9824,90,0
3,4,2,50,1.5419,85,0
2,4,0,66,3.3712,81,0
0,2,1,100,1.0711,79,1
3,4,4,25,2.982,100,0
0,2,2,100,1.2291,65,1
3,3,3,80,1.3323,80,1
0,2,0,75,2.8446,77,1
0,2,4,75,2.1773,90,1
3,1,0,100,3.0376,94,1
8,0,4,66,1.7847,98,1
0,4,5,100,3.8292,81,1
0,4,4,100,3.926,89,1
0,2,1,100,1.5101,95,1
0,2,1,100,1.8788,81,1
2,2,1,60,2.143,51,0
1,3,0,83,1.7738,64,1
4,4,6,100,7.2727,56,1
1,5,0,83,2.878,23,1
1,7,2,83,6.5429,78,1
4,4,6,100,4.3526,83,1
0,5,4,100,2.5462,64,1
2,6,2,50,1.796,100,0
14,2,0,100,1.914,59,1
2,2,1,80,4.0011,98,1
1,3,0,83,3.2421,95,1
0,5,1,100,2.7206,92,1
8,3,11,100,12.0684,95,1
5,3,4,100,1.2802,89,1
2,7,7,100,2.1583,88,1
2,4,4,50,2.1857,95,0
0,4,11,100,3.0156,84,1
10,2,1,100,1.6501,84,1
0,3,0,100,1.7559,93,1
0,5,2,100,2.532,74,1
0,3,1,100,2.4232,84,1
4,4,1,80,2.0386,52,1
