@relation VSData2_classFromCplus

@attribute UserId numeric
@attribute AvgRatio numeric
@attribute PercentageOfOpenedDiscussion numeric
@attribute PercentageOfReplies numeric
@attribute PercentageOfWikiEntries numeric
@attribute PercentageOfAssignCompletion numeric
@attribute RatioOfVisitPerWeek numeric
@attribute PercentageOfVisitOfStudent numeric
@attribute PercentagOfAccessedResource numeric
@attribute PercentageOfLateAccess numeric
@attribute SkewOfAccessResource numeric
@attribute Student {Warn,Good}

@data
23,0.7869,1,1,1,80,0.0224,2.2382,77,85,3.117868,Warn
24,0.9821,3,0,0,80,0.0157,1.5721,77,92,3.477005,Good
25,1.0725,2,0,3,100,0.0155,1.5454,94,84,3.407282,Good
26,0.8317,3,1,1,100,0.0099,0.9859,85,83,2.900775,Good
27,0.9644,4,1,7,80,0.0232,2.3181,88,77,3.617074,Good
28,1.044,2,1,1,80,0.0072,0.7194,74,53,1.611386,Good
29,0.7124,1,0,0,60,0.0192,1.9185,62,90,2.932243,Warn
32,1.15,3,1,0,100,0.0149,1.4921,74,15,2.871206,Good
33,1.0312,2,0,0,100,0.024,2.3981,82,3,2.530725,Warn
34,1.026,1,1,0,80,0.0397,3.9702,97,2,3.114039,Good
48,1.16,4,0,0,100,0.0392,3.9169,77,3,0.577204,Good
49,0.9929,3,3,3,80,0.0133,1.3323,80,78,3.30437,Good
50,1.0369,3,1,1,100,0.0213,2.1316,88,93,3.837503,Good
51,1.0296,2,1,4,100,0.0197,1.9718,60,76,2.215821,Good
52,1.0105,2,7,7,100,0.0216,2.1583,88,100,3.491334,Good
53,0.9585,3,3,0,80,0.0075,0.7461,68,41,4,Good
54,0.9822,3,0,1,100,0.0179,1.7852,97,97,2.887138,Good
55,1.0608,2,0,4,100,0.0242,2.4247,82,93,3.086631,Good
56,0.7859,1,1,1,60,0.0173,1.7319,97,0,3.412849,Warn
57,1.0542,2,1,5,100,0.0448,4.4764,85,0,2.215284,Good
58,0.8947,3,0,3,80,0.012,1.199,54,5,1.164791,Good
59,1.1071,3,0,6,100,0.0368,3.6771,94,96,3.452465,Good
60,0.87,2,1,2,100,0.0195,1.9451,91,28,2.565303,Good
61,0.8937,0,3,0,100,0.0141,1.4122,74,92,3.404477,Warn
63,0.9676,2,7,0,100,0.0107,1.0658,45,68,3.559572,Good
64,0.9439,3,1,5,100,0.0216,2.1583,85,76,3.423315,Good
65,0.9439,3,1,4,100,0.0232,2.3181,82,10,2.095627,Good
66,0.9703,2,3,2,80,0.0205,2.0517,48,47,1.902543,Good
67,0.9375,3,3,1,100,0.0218,2.1849,88,93,3.728549,Good
68,1.16,3,7,0,100,0.0405,4.0501,97,79,1.908979,Good
69,0.8837,1,5,1,100,0.02,1.9984,88,100,3.470719,Good
70,0.9712,0,5,1,100,0.024,2.3981,94,69,2.960881,Warn
71,0.9959,3,1,0,100,0.0304,3.0376,94,96,3.366498,Good
72,0.9772,1,5,5,80,0.016,1.5987,77,0,2.205956,Good
73,1.0816,4,1,0,100,0.0171,1.7053,68,91,3.625346,Good
74,1.1646,3,0,0,100,0.0117,1.1724,94,0,2.073221,Good
75,1.1235,2,1,3,100,0.0213,2.1316,82,27,1.505294,Good
76,1.0706,4,1,0,100,0.0192,1.9185,68,12,1.549393,Good
77,1.1737,2,1,1,100,0.0165,1.652,45,12,2.549684,Good
33,1.0613,14,2,2,100,0.0544,5.4434,72,50,0.306705,Good
370,1.0908,0,2,3,100,0.0291,2.9148,95,57,2.203322,Good
371,0.9038,0,2,0,100,0.0156,1.5628,79,77,2.000526,Warn
372,1.0316,0,2,0,75,0.0267,2.669,77,100,3.767294,Good
373,1.0125,0,2,2,100,0.0506,5.0571,88,89,3.217178,Warn
375,1.0613,14,1,3,100,0.017,1.7032,86,92,2.390279,Good
376,1.0848,0,3,3,75,0.0246,2.4583,90,70,1.652534,Good
377,0.8708,0,2,2,75,0.0153,1.5277,86,73,3.064594,Good
378,0.9822,0,2,2,100,0.0123,1.2291,65,79,3.463078,Good
379,1.055,0,2,4,75,0.0277,2.7744,45,25,2.435505,Good
380,0.9855,0,2,4,75,0.0218,2.1773,90,87,3.499823,Good
383,1.0546,0,2,4,100,0.0227,2.2651,61,96,2.701396,Good
387,1.0135,0,2,5,75,0.0162,1.6155,75,90,3.633588,Good
388,0.9634,0,1,0,100,0.0104,1.036,93,75,2.390597,Good
389,1.027,0,2,5,75,0.0176,1.7559,43,78,2.352786,Good
391,1.0664,0,2,11,100,0.0571,5.7068,93,87,3.618013,Good
392,1.0361,14,2,0,75,0.032,3.1958,70,80,3.256251,Good
